product_id,name,category,brand,price,description
1,Classic Black Sweater,Jackets,Adidas,757.77,"A high-quality classic black sweater from Adidas, perfect for everyday wear."
2,Comfortable Green Sneakers,Shorts,Ralph Lauren,689.51,"A comfortable comfortable green sneakers from Ralph Lauren, perfect for everyday wear."
3,Stylish Green Cap,T-Shirts,H&M,283.25,"A versatile stylish green cap from H&M, perfect for everyday wear."
4,Stylish Red Bra,Skirts,Adidas,643.5,"A stylish stylish red bra from Adidas, perfect for everyday wear."
5,Trendy Black Skirt,Accessories,Tommy Hilfiger,215.46,"A high-quality trendy black skirt from Tommy Hilfiger, perfect for everyday wear."
6,Designer Green Tee,Coats,Nike,712.57,"A stylish designer green tee from Nike, perfect for everyday wear."
7,Elegant Gray Sweater,Shorts,Uniqlo,168.5,"A high-quality elegant gray sweater from Uniqlo, perfect for everyday wear."
8,Stylish Red Tee,Blouses,Tommy Hilfiger,644.97,"A comfortable stylish red tee from Tommy Hilfiger, perfect for everyday wear."
9,Stylish Blue Blouse,Jeans,Zara,245.02,"A comfortable stylish blue blouse from Zara, perfect for everyday wear."
10,Modern Green Sneakers,Coats,Nike,704.14,"A high-quality modern green sneakers from Nike, perfect for everyday wear."
11,Casual Red Jeans,Jeans,Uniqlo,49.18,"A versatile casual red jeans from Uniqlo, perfect for everyday wear."
12,Trendy Black Jacket,Pants,Levi's,187.58,"A comfortable trendy black jacket from Levi's, perfect for everyday wear."
13,Classic White Tee,Jeans,Levi's,775.11,"A versatile classic white tee from Levi's, perfect for everyday wear."
14,Comfortable Pink Pants,Sweaters,Old Navy,583.78,"A comfortable comfortable pink pants from Old Navy, perfect for everyday wear."
15,Comfortable Pink Dress,Underwear,Uniqlo,365.18,"A stylish comfortable pink dress from Uniqlo, perfect for everyday wear."
16,Elegant Green Skirt,Blouses,Adidas,256.82,"A high-quality elegant green skirt from Adidas, perfect for everyday wear."
17,Casual Gray Cap,Shorts,Ralph Lauren,33.01,"A comfortable casual gray cap from Ralph Lauren, perfect for everyday wear."
18,Designer Red Cap,Jackets,H&M,620.6,"A comfortable designer red cap from H&M, perfect for everyday wear."
19,Modern White Skirt,Jackets,Gap,144.82,"A versatile modern white skirt from Gap, perfect for everyday wear."
