product_id,product_name,category,subcategory,brand,price,cost,supplier_id,region,created_date,updated_date
1,Designer Red Tee,Sweaters,Kids,Levi's,74.92,35.0,77,Texas,2025-10-02,2025-10-02
2,Casual Navy Tee,Pants,Unisex,Puma,597.67,262.62,31,Arizona,2025-10-02,2025-10-02
3,Comfortable Black Dress,Underwear,Men,Levi's,50.17,21.08,86,North Carolina,2025-10-02,2025-10-02
4,Modern Pink Socks,Jeans,Men,Levi's,469.71,250.58,11,California,2025-10-02,2025-10-02
5,Classic Green Tee,Jeans,Unisex,H&M,385.14,203.23,55,California,2025-10-02,2025-10-02
6,Modern Gray Necklace,Dresses,Kids,Gap,498.73,336.04,91,Arizona,2025-10-02,2025-10-02
7,Premium White Pants,Shoes,Men,Banana Republic,585.47,449.18,26,Texas,2025-10-02,2025-10-02
8,Designer Navy Dress,Dresses,Women,Gap,271.78,197.21,59,Virginia,2025-10-02,2025-10-02
9,Modern Green Jacket,Jackets,Unisex,Zara,510.14,338.3,63,Virginia,2025-10-02,2025-10-02
10,Sporty Navy Cap,Socks,Unisex,Levi's,115.27,59.23,78,Massachusetts,2025-10-02,2025-10-02
11,Casual Navy Coat,Skirts,Kids,Gucci,45.35,29.2,75,Pennsylvania,2025-10-02,2025-10-02
12,Stylish Navy Sweater,Jackets,Kids,Tommy Hilfiger,107.7,76.12,21,Florida,2025-10-02,2025-10-02
13,Elegant Green Dress,Skirts,Women,Gap,590.93,263.08,13,Ohio,2025-10-02,2025-10-02
14,Comfortable Blue Socks,Hats,Men,Nike,325.07,230.69,17,Georgia,2025-10-02,2025-10-02
15,Premium Green Sneakers,Sweaters,Kids,H&M,613.0,267.43,74,North Carolina,2025-10-02,2025-10-02
16,Basic Black Socks,T-Shirts,Kids,Banana Republic,328.63,144.94,100,Ohio,2025-10-02,2025-10-02
17,Comfortable Pink Necklace,T-Shirts,Unisex,Banana Republic,459.54,280.77,5,Illinois,2025-10-02,2025-10-02
18,Sporty Gray Jacket,Coats,Men,Levi's,306.96,206.55,1,Washington,2025-10-02,2025-10-02
19,Classic Pink Shorts,Jackets,Kids,Nike,788.06,392.49,97,North Carolina,2025-10-02,2025-10-02
