product_id,name,category,brand,price,description
1,Sporty Blue Shorts,Shoes,Gucci,77.9,"A stylish sporty blue shorts from Gucci, perfect for everyday wear."
2,Casual Navy Jeans,Hats,Tommy Hilfiger,109.32,"A high-quality casual navy jeans from Tommy Hilfiger, perfect for everyday wear."
3,Stylish Gray Blouse,Accessories,Uniqlo,753.43,"A stylish stylish gray blouse from Uniqlo, perfect for everyday wear."
4,Casual Gray Sneakers,Shorts,Gucci,206.47,"A stylish casual gray sneakers from Gucci, perfect for everyday wear."
5,Trendy Red Socks,Hats,H&M,796.94,"A stylish trendy red socks from H&M, perfect for everyday wear."
6,Stylish White Shorts,Sweaters,Banana Republic,629.68,"A high-quality stylish white shorts from Banana Republic, perfect for everyday wear."
7,Sporty Pink Necklace,Shorts,Nike,783.64,"A comfortable sporty pink necklace from Nike, perfect for everyday wear."
8,Modern Navy Shorts,Accessories,Tommy Hilfiger,163.17,"A versatile modern navy shorts from Tommy Hilfiger, perfect for everyday wear."
9,Sporty Red Coat,Coats,Gucci,296.91,"A comfortable sporty red coat from Gucci, perfect for everyday wear."
10,Sporty Navy Socks,Shoes,Banana Republic,532.21,"A high-quality sporty navy socks from Banana Republic, perfect for everyday wear."
11,Vintage Black Blouse,Blouses,Gap,557.78,"A comfortable vintage black blouse from Gap, perfect for everyday wear."
12,Vintage Black Necklace,Accessories,Ralph Lauren,15.06,"A comfortable vintage black necklace from Ralph Lauren, perfect for everyday wear."
13,Classic Gray Pants,Hats,Banana Republic,640.01,"A stylish classic gray pants from Banana Republic, perfect for everyday wear."
14,Modern White Sweater,Socks,Nike,143.25,"A comfortable modern white sweater from Nike, perfect for everyday wear."
15,Vintage Black Jeans,Underwear,Puma,201.32,"A versatile vintage black jeans from Puma, perfect for everyday wear."
16,Vintage Black Coat,Sweaters,Ralph Lauren,664.88,"A comfortable vintage black coat from Ralph Lauren, perfect for everyday wear."
17,Modern Gray Pants,Coats,Uniqlo,739.6,"A high-quality modern gray pants from Uniqlo, perfect for everyday wear."
18,Trendy Red Cap,Accessories,Zara,18.02,"A stylish trendy red cap from Zara, perfect for everyday wear."
19,Modern Red Jeans,Sweaters,Forever 21,521.52,"A stylish modern red jeans from Forever 21, perfect for everyday wear."
20,Comfortable Black Tee,Pants,Forever 21,744.91,"A comfortable comfortable black tee from Forever 21, perfect for everyday wear."
21,Modern White Tee,Jeans,Ralph Lauren,201.55,"A versatile modern white tee from Ralph Lauren, perfect for everyday wear."
22,Comfortable Pink Pants,Accessories,Puma,344.69,"A versatile comfortable pink pants from Puma, perfect for everyday wear."
23,Casual White Tee,Accessories,Uniqlo,702.43,"A versatile casual white tee from Uniqlo, perfect for everyday wear."
24,Stylish Green Cap,Dresses,Gap,603.79,"A high-quality stylish green cap from Gap, perfect for everyday wear."
25,Trendy White Necklace,Sweaters,H&M,394.85,"A high-quality trendy white necklace from H&M, perfect for everyday wear."
26,Casual Red Skirt,Pants,Ralph Lauren,667.58,"A high-quality casual red skirt from Ralph Lauren, perfect for everyday wear."
27,Trendy Black Sneakers,Sweaters,Puma,685.27,"A stylish trendy black sneakers from Puma, perfect for everyday wear."
28,Comfortable Gray Socks,Blouses,Zara,300.03,"A comfortable comfortable gray socks from Zara, perfect for everyday wear."
29,Vintage White Sneakers,Shoes,Gucci,286.73,"A versatile vintage white sneakers from Gucci, perfect for everyday wear."
30,Trendy White Dress,Jackets,Banana Republic,638.6,"A stylish trendy white dress from Banana Republic, perfect for everyday wear."
31,Designer Red Sweater,Dresses,Banana Republic,501.62,"A high-quality designer red sweater from Banana Republic, perfect for everyday wear."
32,Basic Pink Blouse,Jackets,Forever 21,432.36,"A versatile basic pink blouse from Forever 21, perfect for everyday wear."
33,Trendy Green Necklace,Shorts,Banana Republic,603.31,"A versatile trendy green necklace from Banana Republic, perfect for everyday wear."
34,Stylish Red Skirt,Blouses,Forever 21,428.75,"A comfortable stylish red skirt from Forever 21, perfect for everyday wear."
35,Designer Gray Tee,Jeans,Adidas,190.37,"A versatile designer gray tee from Adidas, perfect for everyday wear."
36,Elegant Navy Coat,Blouses,H&M,232.7,"A high-quality elegant navy coat from H&M, perfect for everyday wear."
37,Sporty Gray Jeans,Shoes,Old Navy,392.16,"A stylish sporty gray jeans from Old Navy, perfect for everyday wear."
38,Stylish Red Necklace,Hats,Adidas,574.34,"A comfortable stylish red necklace from Adidas, perfect for everyday wear."
39,Stylish Black Coat,Shoes,Adidas,129.67,"A high-quality stylish black coat from Adidas, perfect for everyday wear."
40,Basic Blue Socks,Hats,Puma,795.91,"A comfortable basic blue socks from Puma, perfect for everyday wear."
41,Comfortable Pink Necklace,Sweaters,H&M,198.2,"A versatile comfortable pink necklace from H&M, perfect for everyday wear."
42,Stylish Red Blouse,Sweaters,Adidas,798.35,"A stylish stylish red blouse from Adidas, perfect for everyday wear."
43,Comfortable Blue Cap,Blouses,Levi's,226.61,"A comfortable comfortable blue cap from Levi's, perfect for everyday wear."
44,Classic Blue Pants,Socks,H&M,300.45,"A comfortable classic blue pants from H&M, perfect for everyday wear."
45,Classic White Tee,Jeans,Ralph Lauren,754.22,"A comfortable classic white tee from Ralph Lauren, perfect for everyday wear."
46,Sporty Gray Pants,Accessories,Gucci,778.68,"A high-quality sporty gray pants from Gucci, perfect for everyday wear."
47,Elegant Red Sweater,Jackets,Forever 21,668.36,"A versatile elegant red sweater from Forever 21, perfect for everyday wear."
48,Premium Gray Dress,Hats,Tommy Hilfiger,580.91,"A versatile premium gray dress from Tommy Hilfiger, perfect for everyday wear."
49,Vintage White Bra,Shorts,Forever 21,704.85,"A comfortable vintage white bra from Forever 21, perfect for everyday wear."
50,Premium Green Sneakers,Shorts,Uniqlo,365.47,"A versatile premium green sneakers from Uniqlo, perfect for everyday wear."
51,Basic Red Cap,Jackets,Zara,588.97,"A stylish basic red cap from Zara, perfect for everyday wear."
52,Elegant Blue Bra,Accessories,Gucci,39.87,"A comfortable elegant blue bra from Gucci, perfect for everyday wear."
53,Comfortable Pink Blouse,Jackets,Puma,313.01,"A comfortable comfortable pink blouse from Puma, perfect for everyday wear."
54,Sporty Pink Shorts,Accessories,Ralph Lauren,562.78,"A versatile sporty pink shorts from Ralph Lauren, perfect for everyday wear."
55,Modern Black Coat,Sweaters,Forever 21,694.04,"A comfortable modern black coat from Forever 21, perfect for everyday wear."
56,Premium Red Skirt,Jeans,Puma,620.03,"A stylish premium red skirt from Puma, perfect for everyday wear."
57,Elegant Pink Skirt,T-Shirts,Tommy Hilfiger,220.82,"A stylish elegant pink skirt from Tommy Hilfiger, perfect for everyday wear."
58,Vintage Gray Pants,Sweaters,Gucci,102.24,"A versatile vintage gray pants from Gucci, perfect for everyday wear."
59,Elegant Red Dress,Socks,Banana Republic,758.49,"A stylish elegant red dress from Banana Republic, perfect for everyday wear."
60,Basic Red Blouse,Skirts,Adidas,756.58,"A stylish basic red blouse from Adidas, perfect for everyday wear."
61,Comfortable Black Pants,Jackets,Adidas,64.37,"A comfortable comfortable black pants from Adidas, perfect for everyday wear."
62,Stylish Green Tee,Dresses,Gap,704.42,"A comfortable stylish green tee from Gap, perfect for everyday wear."
63,Elegant Navy Jacket,T-Shirts,Nike,323.47,"A stylish elegant navy jacket from Nike, perfect for everyday wear."
64,Trendy Blue Bra,Socks,Gap,59.55,"A versatile trendy blue bra from Gap, perfect for everyday wear."
65,Casual Navy Jacket,Hats,Puma,183.08,"A stylish casual navy jacket from Puma, perfect for everyday wear."
66,Casual Blue Cap,Blouses,Adidas,26.93,"A versatile casual blue cap from Adidas, perfect for everyday wear."
